ID,ds,y
9734,2011-03-25,52.349998
9735,2011-03-28,52.189999
9736,2011-03-29,52.259998
9737,2011-03-30,52.360001
9738,2011-03-31,52.049999
9739,2011-04-01,52.130001
9740,2011-04-04,52.650002
9741,2011-04-05,52.740002
9742,2011-04-06,52.98
9743,2011-04-07,53.0
9744,2011-04-08,52.540001
9745,2011-04-11,52.82
9746,2011-04-12,53.52
9747,2011-04-13,53.630001
9748,2011-04-14,53.5
9749,2011-04-15,53.549999
9750,2011-04-18,53.310001
9751,2011-04-19,53.349998
9752,2011-04-20,53.689999
9753,2011-04-21,53.580002
9754,2011-04-25,53.369999
9755,2011-04-26,53.91
9756,2011-04-27,54.419998
9757,2011-04-28,54.689999
9758,2011-04-29,54.98
9759,2011-05-02,55.040001
9760,2011-05-03,55.459999
9761,2011-05-04,55.369999
9762,2011-05-05,55.07
9763,2011-05-06,55.02
9764,2011-05-09,55.099998
9765,2011-05-10,55.529999
9766,2011-05-11,55.169998
9767,2011-05-12,55.720001
9768,2011-05-13,55.720001
9769,2011-05-16,56.060001
9770,2011-05-17,55.540001
9771,2011-05-18,55.18
9772,2011-05-19,55.48
9773,2011-05-20,55.290001
9774,2011-05-23,55.220001
9775,2011-05-24,54.779999
9776,2011-05-25,54.560001
9777,2011-05-26,54.619999
9778,2011-05-27,54.700001
9779,2011-05-31,55.220001
9780,2011-06-01,54.299999
9781,2011-06-02,53.549999
9782,2011-06-03,53.66
9783,2011-06-06,53.759998
9784,2011-06-07,53.830002
9785,2011-06-08,53.689999
9786,2011-06-09,53.619999
9787,2011-06-10,52.720001
9788,2011-06-13,52.619999
9789,2011-06-14,52.91
9790,2011-06-15,52.32
9791,2011-06-16,52.830002
9792,2011-06-17,52.82
9793,2011-06-20,53.040001
9794,2011-06-21,53.290001
9795,2011-06-22,53.009998
9796,2011-06-23,53.290001
9797,2011-06-24,52.41
9798,2011-06-27,52.290001
9799,2011-06-28,52.529999
9800,2011-06-29,52.639999
9801,2011-06-30,53.139999
9802,2011-07-01,53.509998
