ID,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
619,2012-06-18,67.79996735098602,61.181607085618985,70.31429629167089,67.79996735098602,67.79996735098602,-2.184916751753707,-2.184916751753707,-2.184916751753707,-0.05612304612755993,-0.05612304612755993,-0.05612304612755993,-0.06981498020952075,-0.06981498020952075,-0.06981498020952075,-2.058978725416626,-2.058978725416626,-2.058978725416626,0.0,0.0,0.0,65.61505059923232
620,2012-06-19,67.85532193766866,61.33983970556636,70.73905697338796,67.85532193766866,67.85532193766866,-2.0139401531398193,-2.0139401531398193,-2.0139401531398193,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,0.13738494616205296,0.13738494616205296,0.13738494616205296,-2.095202053174312,-2.095202053174312,-2.095202053174312,0.0,0.0,0.0,65.84138178452885
621,2012-06-20,67.91067652435129,61.227255599719975,70.5463723605896,67.91067652435129,67.91067652435129,-2.184878178297715,-2.184878178297715,-2.184878178297715,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.009135226536516002,-0.009135226536516002,-0.009135226536516002,-2.119619905633639,-2.119619905633639,-2.119619905633639,0.0,0.0,0.0,65.72579834605358
622,2012-06-21,67.96603111103391,61.185003132371115,70.59833284483761,67.96603111103391,67.96603111103391,-2.225564709931202,-2.225564709931202,-2.225564709931202,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03838410580912776,-0.03838410580912776,-0.03838410580912776,-2.131057557994514,-2.131057557994514,-2.131057557994514,0.0,0.0,0.0,65.74046640110271
623,2012-06-22,68.02138569771654,60.96282933769037,70.29663265505816,68.02138569771654,68.02138569771654,-2.2187766188804345,-2.2187766188804345,-2.2187766188804345,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03408134334620056,-0.03408134334620056,-0.03408134334620056,-2.128572229406674,-2.128572229406674,-2.128572229406674,0.0,0.0,0.0,65.8026090788361
624,2012-06-25,68.18744945776442,61.49519744354529,70.83263628952074,68.18744945776442,68.18744945776442,-2.157954558547815,-2.157954558547815,-2.157954558547815,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.06981498020961882,-0.06981498020961882,-0.06981498020961882,-2.0320165322106356,-2.0320165322106356,-2.0320165322106356,0.0,0.0,0.0,66.0294948992166
625,2012-06-26,68.24280404444706,61.817912247099414,70.94393837183226,68.24280404444706,68.24280404444706,-1.8883785459638096,-1.8883785459638096,-1.8883785459638096,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,0.13738494616201927,0.13738494616201927,0.13738494616201927,-1.9696404459982686,-1.9696404459982686,-1.9696404459982686,0.0,0.0,0.0,66.35442549848325
626,2012-06-27,68.29815863112968,61.94967386647741,70.91149440447262,68.29815863112968,68.29815863112968,-1.9578722947489202,-1.9578722947489202,-1.9578722947489202,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.00913522653609243,-0.00913522653609243,-0.00913522653609243,-1.8926140220852676,-1.8926140220852676,-1.8926140220852676,0.0,0.0,0.0,66.34028633638076
627,2012-06-28,68.3535132178123,61.70724237187775,70.98914746803844,68.3535132178123,68.3535132178123,-1.8961145609068655,-1.8961145609068655,-1.8961145609068655,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03838410580889309,-0.03838410580889309,-0.03838410580889309,-1.801607408970412,-1.801607408970412,-1.801607408970412,0.0,0.0,0.0,66.45739865690544
628,2012-06-29,68.40886780449493,62.23675554914087,71.21602168561714,68.40886780449493,68.40886780449493,-1.787745787772826,-1.787745787772826,-1.787745787772826,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.0340813433460404,-0.0340813433460404,-0.0340813433460404,-1.6975413982992253,-1.6975413982992253,-1.6975413982992253,0.0,0.0,0.0,66.62112201672211
629,2012-07-02,68.57493156454282,62.18700070849626,71.83631765929933,68.57493156454282,68.57493156454282,-1.445445208417523,-1.445445208417523,-1.445445208417523,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.06981498020963336,-0.06981498020963336,-0.06981498020963336,-1.3195071820803295,-1.3195071820803295,-1.3195071820803295,0.0,0.0,0.0,67.1294863561253
630,2012-07-03,68.63028615122543,62.65459756661359,72.16498641836701,68.63028615122543,68.63028615122543,-1.095378246527515,-1.095378246527515,-1.095378246527515,-0.05612304612755993,-0.05612304612755993,-0.05612304612755993,0.1373849461620481,0.1373849461620481,0.1373849461620481,-1.1766401465620033,-1.1766401465620033,-1.1766401465620033,0.0,0.0,0.0,67.53490790469792
631,2012-07-05,68.7409953245907,63.20567607316278,72.49742156762663,68.7409953245907,68.7409953245907,-0.9706860767294951,-0.9706860767294951,-0.9706860767294951,-0.05612304612755993,-0.05612304612755993,-0.05612304612755993,-0.038384105808915735,-0.038384105808915735,-0.038384105808915735,-0.8761789247930195,-0.8761789247930195,-0.8761789247930195,0.0,0.0,0.0,67.7703092478612
632,2012-07-06,68.76437066007246,63.20236027637699,72.62693626977082,68.76437066007246,68.76437066007246,-0.812579102910594,-0.812579102910594,-0.812579102910594,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.034081343345880234,-0.034081343345880234,-0.034081343345880234,-0.722374713437154,-0.722374713437154,-0.722374713437154,0.0,0.0,0.0,67.95179155716187
633,2012-07-09,68.83449666651775,63.91752314521119,73.11732479472282,68.83449666651775,68.83449666651775,-0.3954684186297772,-0.3954684186297772,-0.3954684186297772,-0.05612304612755993,-0.05612304612755993,-0.05612304612755993,-0.0698149802094612,-0.0698149802094612,-0.0698149802094612,-0.2695303922927562,-0.2695303922927562,-0.2695303922927562,0.0,0.0,0.0,68.43902824788798
634,2012-07-10,68.85787200199951,64.08651957188457,73.2533415808529,68.85787200199951,68.85787200199951,-0.04623847398905605,-0.04623847398905605,-0.04623847398905605,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,0.13738494616207694,0.13738494616207694,0.13738494616207694,-0.1275003740235731,-0.1275003740235731,-0.1275003740235731,0.0,0.0,0.0,68.81163352801046
635,2012-07-11,68.88124733748127,63.93052224019006,73.35512683139144,68.88124733748127,68.88124733748127,-0.05796788176258141,-0.05796788176258141,-0.05796788176258141,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.00913522653639022,-0.00913522653639022,-0.00913522653639022,0.0072903909013687295,0.0072903909013687295,0.0072903909013687295,0.0,0.0,0.0,68.82327945571869
636,2012-07-12,68.90462267296304,64.54731881455338,73.58807640566928,68.90462267296304,68.90462267296304,0.038875072139360915,0.038875072139360915,0.038875072139360915,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.0383841058089384,-0.0383841058089384,-0.0383841058089384,0.13338222407585923,0.13338222407585923,0.13338222407585923,0.0,0.0,0.0,68.9434977451024
637,2012-07-13,68.9279980084448,64.5297253253477,73.53976571223627,68.9279980084448,68.9279980084448,0.15928219253451212,0.15928219253451212,0.15928219253451212,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.03408134334631233,-0.03408134334631233,-0.03408134334631233,0.2494865820083844,0.2494865820083844,0.2494865820083844,0.0,0.0,0.0,69.08728020097932
638,2012-07-16,68.9981240148901,65.02188234150965,74.16846560111132,68.9981240148901,68.9981240148901,0.4019608619514857,0.4019608619514857,0.4019608619514857,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.06981498020955927,-0.06981498020955927,-0.06981498020955927,0.5278988882886049,0.5278988882886049,0.5278988882886049,0.0,0.0,0.0,69.40008487684158
639,2012-07-17,69.02149935037185,64.92223373921713,74.41999990938996,69.02149935037185,69.02149935037185,0.6763833105196448,0.6763833105196448,0.6763833105196448,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,0.13738494616210578,0.13738494616210578,0.13738494616210578,0.5951214104850988,0.5951214104850988,0.5951214104850988,0.0,0.0,0.0,69.6978826608915
640,2012-07-18,69.04487468585361,64.75350369166614,73.98301067094839,69.04487468585361,69.04487468585361,0.5836930894844801,0.5836930894844801,0.5836930894844801,-0.056123046127559896,-0.056123046127559896,-0.056123046127559896,-0.00913522653618326,-0.00913522653618326,-0.00913522653618326,0.6489513621482229,0.6489513621482229,0.6489513621482229,0.0,0.0,0.0,69.6285677753381
641,2012-07-19,69.06825002133539,65.26619194680823,74.51350392904567,69.06825002133539,69.06825002133539,0.5948422148980538,0.5948422148980538,0.5948422148980538,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.038384105809048844,-0.038384105809048844,-0.038384105809048844,0.6893493668346624,0.6893493668346624,0.6893493668346624,0.0,0.0,0.0,69.66309223623344
642,2012-07-20,69.09162535681715,65.18931904290687,74.36241834891153,69.09162535681715,69.09162535681715,0.6262776708084294,0.6262776708084294,0.6262776708084294,-0.05612304612755993,-0.05612304612755993,-0.05612304612755993,-0.0340813433465574,-0.0340813433465574,-0.0340813433465574,0.7164820602825466,0.7164820602825466,0.7164820602825466,0.0,0.0,0.0,69.71790302762558
643,2012-07-23,69.16175136326244,65.0055979065802,74.17229361932718,69.16175136326244,69.16175136326244,0.5968594502699288,0.5968594502699288,0.5968594502699288,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,-0.06981498020957383,-0.06981498020957383,-0.06981498020957383,0.7227974766070624,0.7227974766070624,0.7227974766070624,0.0,0.0,0.0,69.75861081353237
644,2012-07-24,69.1851266987442,65.43429799545984,74.44552575549666,69.1851266987442,69.1851266987442,0.7834789292943336,0.7834789292943336,0.7834789292943336,-0.05612304612755992,-0.05612304612755992,-0.05612304612755992,0.13738494616207209,0.13738494616207209,0.13738494616207209,0.7022170292598214,0.7022170292598214,0.7022170292598214,0.0,0.0,0.0,69.96860562803853
