ID,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,y
1498,2021-10-03,155.489978364401,151.175392586519,172.219728636647,146.569758132106,165.088717538267,5.84984645919456,5.84984645919456,5.84984645919456,3.0709810024643,3.0709810024643,3.0709810024643,-0.383872873390085,-0.383872873390085,-0.383872873390085,3.16273833012034,3.16273833012034,3.16273833012034,161.339824823595,
1499,2021-10-04,155.558221958952,152.627567915584,172.80016750994,146.491269675377,165.254418311435,6.33744893410266,6.33744893410266,6.33744893410266,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201931852,0.0415615201931852,0.0415615201931852,3.22490641144517,3.22490641144517,3.22490641144517,161.895670893054,
1500,2021-10-05,155.626465553502,153.256106284605,172.758453566893,146.515298333526,165.41063724717,6.68257934993073,6.68257934993073,6.68257934993073,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496244,0.317090441496244,0.317090441496244,3.29450790597018,3.29450790597018,3.29450790597018,162.309044903433,
1501,2021-10-06,155.694709148053,152.658725653552,172.653802604905,146.46102327784,165.570939548093,6.5940246168638,6.5940246168638,6.5940246168638,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949616846,0.152800949616846,0.152800949616846,3.37024266478265,3.37024266478265,3.37024266478265,162.288733764917,
1502,2021-10-07,155.762952742604,152.925144264654,173.141862702307,146.353667525567,165.725809094764,6.66173769328646,6.66173769328646,6.66173769328646,3.0709810024643,3.0709810024643,3.0709810024643,0.140005182147413,0.140005182147413,0.140005182147413,3.45075150867474,3.45075150867474,3.45075150867474,162.424690435891,
1503,2021-10-08,155.831196337155,153.139853758675,173.462596174762,146.373929465433,165.885436739967,6.7219170380945,6.7219170380945,6.7219170380945,3.0709810024643,3.0709810024643,3.0709810024643,0.116287255486965,0.116287255486965,0.116287255486965,3.53464878014323,3.53464878014323,3.53464878014323,162.553113375249,
1504,2021-10-09,155.899439931706,152.12984835946,172.760387129333,146.353999089079,166.04506438517,6.30766366290233,6.30766366290233,6.30766366290233,3.0709810024643,3.0709810024643,3.0709810024643,-0.383872475549623,-0.383872475549623,-0.383872475549623,3.62055513598765,3.62055513598765,3.62055513598765,162.207103594608,
1505,2021-10-10,155.967683526257,152.161891447957,173.063144540284,146.372385007897,166.202859316825,6.39423795027688,6.39423795027688,6.39423795027688,3.0709810024643,3.0709810024643,3.0709810024643,-0.383872873389884,-0.383872873389884,-0.383872873389884,3.70712982120246,3.70712982120246,3.70712982120246,162.361921476533,
1506,2021-10-11,156.035927120807,152.620868471867,173.659019562898,146.396344657743,166.357645621254,6.90564418973606,6.90564418973606,6.90564418973606,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201915738,0.0415615201915738,0.0415615201915738,3.79310166708018,3.79310166708018,3.79310166708018,162.941571310543,
1507,2021-10-12,156.104170715358,153.602715703696,174.600330932156,146.338363400104,166.512431925684,7.26536952075941,7.26536952075941,7.26536952075941,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496146,0.317090441496146,0.317090441496146,3.87729807679896,3.87729807679896,3.87729807679896,163.369540236118,
1508,2021-10-13,156.172414309909,153.02967616987,174.406876583599,146.295451307975,166.705921901901,7.18245325230607,7.18245325230607,7.18245325230607,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949617101,0.152800949617101,0.152800949617101,3.95867130022466,3.95867130022466,3.95867130022466,163.354867562215,
1509,2021-10-14,156.24065790446,152.481527114595,174.509064117362,146.310512104438,166.908545511717,7.24730754038333,7.24730754038333,7.24730754038333,3.0709810024643,3.0709810024643,3.0709810024643,0.140005182147342,0.140005182147342,0.140005182147342,4.03632135577169,4.03632135577169,4.03632135577169,163.487965444843,
1510,2021-10-15,156.308901499011,152.849165440061,174.634683904418,146.319168488317,167.111169121533,7.29678328786286,7.29678328786286,7.29678328786286,3.0709810024643,3.0709810024643,3.0709810024643,0.116287255486938,0.116287255486938,0.116287255486938,4.10951502991162,4.10951502991162,4.10951502991162,163.605684786874,
