Date,score,num_comments,Open,High,Low,Close,Adj_Close,Volume,High_Low_pct,ewm_5,price_std_5,volume_Change,volume_avg_5,volume_Close
2020-07-29,1015,133,131.559998,131.860001,129.850006,130,129,4741100,0.3767023034820913,131.11276057070828,0.5477225575057355,-0.01323703873290738,5542800.0,1024063.3940337873
2020-07-30,1054,67,129.419998,130.419998,128.720001,130,129,4596100,-0.15422824434886995,130.7418403804722,0.7071067811869725,-0.030583619835059417,5042940.0,420238.13844057516
2020-07-31,1661,139,129.649994,130.08999599999999,127.620003,129,128,7211500,0.45293962283462474,130.49456025364813,0.547722557505694,0.5690476708513741,4884520.0,406625.5673220758
2020-08-03,1348,90,129.91000400000001,130.119995,128.270004,129,128,4990500,-0.2510136668403524,129.9963735024321,0.836660026534394,-0.3079803092283159,5207060.0,1123149.2723587546
2020-08-04,1601,214,129.649994,131.71000700000002,128.940002,131,130,6073200,0.49730728419762205,129.6642490016214,0.8366600265343668,0.21695220919747515,5268780.0,1095207.2370104208
2020-08-05,2281,132,130.449997,130.75,128.830002,129,128,8503600,-0.3068611789509498,130.1094993344143,0.8366600265343668,0.40018441678192707,5522480.0,1107679.8282897454
2020-08-07,1223,41,129.580002,130.46000700000002,129.110001,129,128,5519500,-0.2968711425741002,129.73966622294287,0.8944271910001755,-0.3509219624629568,6274980.0,1608808.4805221534
2020-08-10,1008,50,130.240005,132.33999599999999,129.649994,131,130,5894400,0.9925852181397545,129.49311081529524,0.8944271910001628,0.06792281909593267,6459660.0,1408424.418632395
2020-08-11,1108,125,132.58999599999999,132.869995,129.729996,130,129,8453400,0.1672850057360542,129.99540721019682,1.0954451150105442,0.4341408794788273,6196240.0,1354800.9422051639
2020-08-12,2122,88,130.470001,132.229996,129.080002,131,130,6372100,0.0031831220328426557,129.99693814013122,1.0000000000002378,-0.246208626114936,6888820.0,1464971.7922199047
2020-08-13,1768,144,131.21000700000002,131.96000700000002,130.729996,131,131,6622400,-0.60951957368807,130.3312920934208,1.0000000000002378,0.039280613926335084,6948600.0,1429026.306615802
2020-08-14,1771,214,132.33999599999999,132.970001,131.630005,132,132,6702100,0.08941789951469103,130.5541947289472,0.8944271910001945,0.012034911814447824,6572360.0,1134577.3984175783
2020-08-17,764,94,134.350006,136.130005,133.850006,135,135,13155000,0.7014968701399324,131.03612981929814,0.7071067811869242,0.9628176243267035,6808880.0,971811.868110284
2020-08-18,1034,239,136.169998,137.630005,133.169998,134,134,26744200,0.9561442790106538,132.3574198795321,1.9235384061672849,1.0330064614215129,8261000.0,2857944.0223699273
2020-08-19,876,23,134.21000700000002,134.66000400000001,131.850006,132,131,12718400,-0.3699565942385302,132.90494658635473,1.8165902124586666,-0.5244426828994697,11919160.0,8765733.963736294
2020-08-20,2671,116,131.21000700000002,132.070007,130.050003,130,130,8936900,-0.28113685490167795,132.60329772423648,1.643167672515688,-0.2973251352371368,13188420.0,8203142.277322758
2020-08-21,966,45,130.550003,132.669998,130.100006,131,131,8288000,0.2722707479787094,131.73553181615765,1.9493588689619499,-0.07260907025926211,13651320.0,7795152.251688224
2020-08-25,990,35,130.800003,131.240005,129.669998,130,130,7240800,-0.3891004329974517,131.4903545441051,2.07364413533292,-0.12635135135135134,13968500.0,7467063.036428713
